#{"t_start": 1736528470.7258098, "env_id": "footsteps-planning-any-withball-v0"}
r,l,t
-64.632545,50,1.680948
-55.234658,50,1.704981
-66.934621,50,1.727046
-69.648738,50,1.75007
-61.087114,50,1.775094
-61.727028,50,1.798638
-62.277132,50,1.820167
-63.093757,50,1.843185
-61.523956,50,1.865721
-61.246992,50,1.886757
-62.745591,50,1.907774
-60.354594,50,1.92779
-56.831639,50,1.950825
-54.78538,50,1.971839
-60.181417,50,2.000398
-61.249894,50,2.02141
-63.546118,50,2.044447
-61.209417,50,2.067442
-60.967399,50,2.089463
-62.418358,50,2.110018
-64.438392,50,2.133039
-60.84589,50,2.154063
-59.446857,50,2.174077
-58.732613,50,2.195095
-62.008452,50,2.217613
-62.045504,50,2.241636
-60.589297,50,2.263675
-56.304418,50,2.284689
-62.891016,50,2.30821
-66.263625,50,2.328227
-65.065459,50,2.349247
-67.587267,50,2.369335
-63.658643,50,2.391358
-60.926676,50,2.412374
-59.764119,50,2.433393
-60.597129,50,2.455924
-54.114868,50,2.479977
-62.527823,50,2.501998
-64.810621,50,2.526531
-191.358033,50,2.550563
-54.976245,50,2.574604
-61.877732,50,2.594654
-64.723772,50,2.616706
-65.994602,50,2.638826
-64.118331,50,2.661847
-61.126857,50,2.686379
-60.056575,50,2.707414
-62.026339,50,2.728429
-69.827829,50,2.751447
-60.990537,50,2.772462
-63.372339,50,2.796005
-65.14316,50,2.819086
-57.121812,50,2.845614
-64.759249,50,2.869668
-54.526824,50,2.89169
-67.222808,50,2.914201
-57.451109,50,2.937739
-63.515135,50,2.960818
-61.258937,50,2.984843
-54.443673,50,3.007894
-57.616947,50,3.03101
-66.981766,50,3.052033
-63.587822,50,3.073065
-61.253626,50,3.094085
-61.966211,50,3.117656
-67.055726,50,3.138682
-60.322359,50,3.161808
-61.39762,50,3.182832
-65.462372,50,3.206363
-62.507971,50,3.228408
-66.56518,50,3.24943
-64.025517,50,3.270445
-60.782253,50,3.293472
-54.3269,50,3.316075
-64.290927,50,3.337105
-64.617205,50,3.357128
-64.198393,50,3.379144
-66.883175,50,3.400179
-58.38155,50,3.421725
-60.60058,50,3.443793
-60.735963,50,3.468323
-60.202042,50,3.490338
-58.787698,50,3.514905
-70.593395,50,3.539452
-64.564824,50,3.562505
-55.626351,50,3.584537
-66.172487,50,3.608591
-59.972578,50,3.62961
-57.385926,50,3.653629
-59.417056,50,3.675653
-55.470669,50,3.696179
-65.606762,50,3.718785
-60.861317,50,3.741797
-61.791659,50,3.763815
-61.000822,50,3.786345
-60.07512,50,3.808375
-66.951456,50,3.830984
-56.694168,50,3.854016
-60.184812,50,3.875561
-63.957228,50,3.898623
-66.999509,50,3.922164
-57.51701,50,3.943193
-60.142589,50,3.964226
-58.99265,50,3.984246
-63.857014,50,4.007792
-61.182804,50,4.030324
-59.276619,50,4.05435
-56.771189,50,4.080921
-62.89001,50,4.103946
-68.181834,50,4.12448
-58.619613,50,4.146016
-63.979904,50,4.16603
-57.423103,50,4.189044
-60.73232,50,4.209565
-62.771715,50,4.229578
-61.989111,50,4.249592
-65.196747,50,4.273625
-65.320309,50,4.296163
-61.415294,50,4.318742
-63.58002,50,4.340769
-56.965331,50,4.364803
-59.816688,50,4.388336
-67.726024,50,4.409359
-61.962612,50,4.429955
-58.984192,50,4.450974
-61.003489,50,4.474003
-53.562849,50,4.497556
-57.492586,50,4.524122
-59.525853,50,4.550671
-64.344259,50,4.573693
-289.36873,50,4.593726
-62.935221,50,4.614249
-59.737178,50,4.637785
-63.401892,50,4.657798
